scenario,param,value,notes
PERFECT_COORDINATION,durations_config.Gas Turbine.Approvals_months,12,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,durations_config.Gas Turbine.Approvals_months,12,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,durations_config.Gas Turbine.Approvals_months,12,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,durations_config.Gas Turbine.Approvals_months,12,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,durations_config.Gas Turbine.Construction_months,18,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,durations_config.Gas Turbine.Construction_months,18,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,durations_config.Gas Turbine.Construction_months,18,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,durations_config.Gas Turbine.Construction_months,18,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,durations_config.Gas Turbine.Construction_months,18,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,durations_config.Gas Turbine.Definition_months,12,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,durations_config.Gas Turbine.Definition_months,12,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,durations_config.Gas Turbine.Definition_months,23,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,durations_config.Gas Turbine.Definition_months,6,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,durations_config.Gas Turbine.Definition_months,7,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,durations_config.Solar.Approvals_months,12,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,durations_config.Solar.Approvals_months,12,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,durations_config.Solar.Approvals_months,12,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,durations_config.Solar.Approvals_months,12,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,durations_config.Solar.Approvals_months,12,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,durations_config.Solar.Construction_months,18,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,durations_config.Solar.Construction_months,18,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,durations_config.Solar.Construction_months,18,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,durations_config.Solar.Construction_months,18,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,durations_config.Solar.Construction_months,18,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,durations_config.Solar.Definition_months,12,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,durations_config.Solar.Definition_months,12,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,durations_config.Solar.Definition_months,23,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,durations_config.Solar.Definition_months,6,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,durations_config.Solar.Definition_months,7,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,durations_config.Transmission.Approvals_months,36,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,durations_config.Transmission.Approvals_months,36,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,durations_config.Transmission.Approvals_months,36,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,durations_config.Transmission.Approvals_months,36,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,durations_config.Transmission.Approvals_months,36,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,durations_config.Transmission.Construction_months,120,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,durations_config.Transmission.Construction_months,120,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,durations_config.Transmission.Construction_months,120,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,durations_config.Transmission.Construction_months,120,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,durations_config.Transmission.Construction_months,120,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,durations_config.Transmission.Definition_months,24,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,durations_config.Transmission.Definition_months,24,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,durations_config.Transmission.Definition_months,46,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,durations_config.Transmission.Definition_months,13,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,durations_config.Transmission.Definition_months,14,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,initial_queue_state.Battery.Approvals_MW,0.0,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,initial_queue_state.Battery.Approvals_MW,0.0,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,initial_queue_state.Battery.Approvals_MW,1200.0,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,initial_queue_state.Battery.Approvals_MW,1200.0,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,initial_queue_state.Battery.Approvals_MW,250.0,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,initial_queue_state.Battery.Construction_MW,0.0,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,initial_queue_state.Battery.Construction_MW,0.0,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,initial_queue_state.Battery.Construction_MW,5300.0,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,initial_queue_state.Battery.Construction_MW,5300.0,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,initial_queue_state.Battery.Construction_MW,200.0,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,initial_queue_state.Battery.Definition_MW,0.0,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,initial_queue_state.Battery.Definition_MW,0.0,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,initial_queue_state.Battery.Definition_MW,1200.0,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,initial_queue_state.Battery.Definition_MW,1200.0,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,initial_queue_state.Battery.Definition_MW,300.0,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,initial_queue_state.Gas Turbine.Approvals_MW,0.0,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,initial_queue_state.Gas Turbine.Approvals_MW,0.0,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,initial_queue_state.Gas Turbine.Approvals_MW,367.0,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,initial_queue_state.Gas Turbine.Approvals_MW,367.0,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,initial_queue_state.Gas Turbine.Approvals_MW,40.0,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,initial_queue_state.Gas Turbine.Construction_MW,0.0,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,initial_queue_state.Gas Turbine.Construction_MW,0.0,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,initial_queue_state.Gas Turbine.Construction_MW,164.0,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,initial_queue_state.Gas Turbine.Construction_MW,164.0,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,initial_queue_state.Gas Turbine.Construction_MW,30.0,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,initial_queue_state.Gas Turbine.Definition_MW,0.0,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,initial_queue_state.Gas Turbine.Definition_MW,0.0,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,initial_queue_state.Gas Turbine.Definition_MW,370.0,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,initial_queue_state.Gas Turbine.Definition_MW,370.0,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,initial_queue_state.Gas Turbine.Definition_MW,50.0,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,initial_queue_state.Solar.Approvals_MW,0.0,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,initial_queue_state.Solar.Approvals_MW,0.0,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,initial_queue_state.Solar.Approvals_MW,3100.0,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,initial_queue_state.Solar.Approvals_MW,3100.0,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,initial_queue_state.Solar.Approvals_MW,150.0,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,initial_queue_state.Solar.Construction_MW,0.0,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,initial_queue_state.Solar.Construction_MW,0.0,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,initial_queue_state.Solar.Construction_MW,1400.0,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,initial_queue_state.Solar.Construction_MW,1400.0,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,initial_queue_state.Solar.Construction_MW,100.0,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,initial_queue_state.Solar.Definition_MW,0.0,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,initial_queue_state.Solar.Definition_MW,0.0,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,initial_queue_state.Solar.Definition_MW,3100.0,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,initial_queue_state.Solar.Definition_MW,3100.0,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,initial_queue_state.Solar.Definition_MW,200.0,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,initial_queue_state.Transmission.Approvals_MW,0.0,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,initial_queue_state.Transmission.Approvals_MW,0.0,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,initial_queue_state.Transmission.Approvals_MW,4500.0,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,initial_queue_state.Transmission.Approvals_MW,4500.0,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,initial_queue_state.Transmission.Approvals_MW,800.0,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,initial_queue_state.Transmission.Construction_MW,0.0,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,initial_queue_state.Transmission.Construction_MW,0.0,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,initial_queue_state.Transmission.Construction_MW,3500.0,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,initial_queue_state.Transmission.Construction_MW,3500.0,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,initial_queue_state.Transmission.Construction_MW,600.0,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,initial_queue_state.Transmission.Definition_MW,0.0,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,initial_queue_state.Transmission.Definition_MW,0.0,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,initial_queue_state.Transmission.Definition_MW,1500.0,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,initial_queue_state.Transmission.Definition_MW,1500.0,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,initial_queue_state.Transmission.Definition_MW,1000.0,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,params.attrition.base_rate,0.05,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,params.attrition.base_rate,0.05,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,params.attrition.base_rate,0.05,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,params.attrition.base_rate,0.09,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,params.attrition.base_rate,0.025,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,params.attrition.delay_threshold_years,1.0,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,params.attrition.delay_threshold_years,1.0,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,params.attrition.delay_threshold_years,1.0,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,params.attrition.delay_threshold_years,1.0,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,params.attrition.delay_threshold_years,2.0,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,params.attrition.enabled,False,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,params.attrition.enabled,False,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,params.attrition.enabled,True,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,params.attrition.enabled,True,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,params.attrition.enabled,True,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,params.attrition.max_rate,0.5,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,params.attrition.max_rate,0.5,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,params.attrition.max_rate,0.35,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,params.attrition.max_rate,0.68,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,params.attrition.max_rate,0.2,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,params.battery.solar_to_battery_ratio,"[1.0, 1.0]","Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,params.battery.solar_to_battery_ratio,"[1.0, 1.0]","Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,params.battery.solar_to_battery_ratio,"[1.0, 1.0]","Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,params.battery.solar_to_battery_ratio,"[1.0, 1.0]","Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,params.battery.solar_to_battery_ratio,"[1.0, 1.0]","Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,params.gas.solar_to_gas_ratio,"[5.0, 1.0]","Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,params.gas.solar_to_gas_ratio,"[5.0, 1.0]","Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,params.gas.solar_to_gas_ratio,"[9.0, 1.0]","Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,params.gas.solar_to_gas_ratio,"[9.0, 1.0]","Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,params.gas.solar_to_gas_ratio,"[9.0, 1.0]","Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
PERFECT_COORDINATION,params.matching.allow_unmatched_solar,True,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,params.matching.allow_unmatched_solar,False,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,params.matching.allow_unmatched_solar,False,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,params.matching.allow_unmatched_solar,False,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,params.transmission.lead_time_months,120,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,params.transmission.lead_time_months,120,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,params.transmission.lead_time_months,120,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,params.transmission.lead_time_months,120,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,params.transmission.lead_time_months,120,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,params.transmission.rep_project_size_MW,500.0,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,params.transmission.rep_project_size_MW,500.0,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,params.transmission.rep_project_size_MW,500.0,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,params.transmission.rep_project_size_MW,500.0,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,params.transmission.rep_project_size_MW,500.0,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,params.transmission.solar_fraction_proceed_at_FID,0.2,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,params.transmission.solar_fraction_proceed_at_FID,0.2,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,params.transmission.solar_fraction_proceed_at_FID,0.1,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,params.transmission.solar_fraction_proceed_at_FID,0.8,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,params.transmission.solar_fraction_proceed_at_FID,0.8,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,params.transmission.solar_fraction_proceed_at_completion,0.8,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,params.transmission.solar_fraction_proceed_at_completion,0.8,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,params.transmission.solar_fraction_proceed_at_completion,0.9,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,params.transmission.solar_fraction_proceed_at_completion,0.2,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,params.transmission.solar_fraction_proceed_at_completion,0.2,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,params.transmission.solar_to_transmission_ratio,"[5.0, 1.0]","Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,params.transmission.solar_to_transmission_ratio,"[5.0, 1.0]","Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,params.transmission.solar_to_transmission_ratio,"[10.0, 1.0]","Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,params.transmission.solar_to_transmission_ratio,"[10.0, 1.0]","Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,params.transmission.solar_to_transmission_ratio,"[10.0, 1.0]","Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,rep_sizes.Battery,100.0,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,rep_sizes.Battery,100.0,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,rep_sizes.Battery,100.0,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,rep_sizes.Battery,100.0,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,rep_sizes.Battery,100.0,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
